3100,1
3101,3
3102,2
3103,2
3104,5
3105,5
3106,3
3107,3
3108,1
3109,5
3110,1
3111,1
3112,1
3113,3
3114,5
3115,2
3116,1
3117,1
3118,1
3119,1
3120,1
3121,4
3122,2
3123,1
3124,3
3125,3
3126,5
3127,1
3128,1
3129,3
3130,5
3131,1
3132,1
3133,4
3134,4
3135,5
3136,3
3137,5
3138,2
3139,3
3140,3
3141,1
3142,3
3143,3
3144,5
3145,3
3146,2
3147,4
3148,5
3149,2
3150,5
3151,5
3152,3
3153,3
3154,4
3155,5
3156,5
3157,4
3158,5
3159,5
3160,2
3161,5
3162,3
3163,3
3164,3
3165,2
3166,3
3167,3
3168,4
3169,2
3170,2
3171,5
3172,5
3173,2
3174,3
3175,5
3176,2
3177,4
3178,3
3179,4
3180,3
3181,5
3182,4
3183,3
3184,1
3185,5
3186,2
3187,5
3188,5
3189,1
3190,5
3191,3
3192,2
3193,5
3194,3
3195,2
3196,2
3197,1
3198,1
3199,5
3200,1
3201,4
3202,4
3203,5
3204,5
3205,3
3206,2
3207,5
3208,4
3209,3
3210,3
3211,5
3212,2
3213,5
3214,3
3215,5
3216,5
3217,5
3218,5
3219,1
