3100,Chevrolet,Spark,Sedan,2022,New,Blue,30000
3101,Honda,Odyssey,Mini-Van,2020,Used,Red,20000
3102,Dodge,Challenger,Coupe,2020,Used,White,20000
3103,Dodge,Durango,SUV,2020,Used,Blue,20000
3104,Chevrolet,Cruze,Sedan,2021,Used,Black,25000
3105,Chevrolet,Silverado,Pick-up,2019,Used,Black,18000
3106,Ford,Explorer,SUV,2019,Used,Red,18000
3107,Ford,Focus,Sedan,2019,Used,Black,18000
3108,BMW,M4,Coupe,2019,Used,Red,18000
3109,Toyota,4Runner,4x4,2022,New,Green,30000
3110,Mercedes,G-Class,SUV,2021,Used,Green,25000
3111,Dodge,Dart,Sedan,2022,New,Black,30000
3112,Toyota,Supra,Coupe,2022,New,Red,30000
3113,Dodge,Challenger,Coupe,2020,Used,Red,20000
3114,Toyota,Camry,Sedan,2022,New,Black,30000
3115,Dodge,Dart,Sedan,2022,New,Red,30000
3116,Dodge,Challenger,Coupe,2022,New,Blue,30000
3117,Dodge,Durango,SUV,2020,Used,Black,20000
3118,Chevrolet,Tahoe,SUV,2021,Used,Red,25000
3119,Ford,Explorer,SUV,2022,New,Red,30000
3120,Dodge,Grand Caravan,Mini-Van,2021,Used,White,25000
3121,Toyota,Supra,Coupe,2021,Used,Green,25000
3122,Chevrolet,Cruze,Sedan,2022,New,Black,30000
3123,BMW,M4,Coupe,2022,New,Green,30000
3124,Honda,Accord,Sedan,2020,Used,Black,20000
3125,Dodge,Durango,SUV,2020,Used,Green,20000
3126,BMW,M4,Coupe,2022,New,Black,30000
3127,Chevrolet,Silverado,Pick-up,2021,Used,Black,25000
3128,Honda,Pilot,SUV,2019,Used,Black,18000
3129,Dodge,Grand Caravan,Mini-Van,2022,New,Black,30000
3130,Toyota,4Runner,4x4,2019,Used,Blue,18000
3131,Chevrolet,Silverado,Pick-up,2019,Used,Green,18000
3132,Chevrolet,Tahoe,SUV,2020,Used,White,20000
3133,Honda,Pilot,SUV,2019,Used,Blue,18000
3134,Honda,Accord,Sedan,2019,Used,Red,18000
3135,Chevrolet,Spark,Sedan,2019,Used,Blue,18000
3136,Dodge,Grand Caravan,Mini-Van,2019,Used,Blue,18000
3137,Ford,Focus,Sedan,2022,New,Green,30000
3138,Honda,Accord,Sedan,2022,New,Blue,30000
3139,Ford,Explorer,SUV,2019,Used,Red,18000
3140,Chevrolet,Spark,Sedan,2020,Used,Black,20000
3141,Honda,Odyssey,Mini-Van,2020,Used,Green,20000
3142,BMW,M4,Coupe,2019,Used,Green,18000
3143,BMW,M4,Coupe,2022,New,Green,30000
3144,Chevrolet,Silverado,Pick-up,2019,Used,White,18000
3145,Chevrolet,Spark,Sedan,2022,New,White,30000
3146,Dodge,Challenger,Coupe,2021,Used,Black,25000
3147,Ford,Explorer,SUV,2022,New,White,30000
3148,Ford,Focus,Sedan,2022,New,Black,30000
3149,Chevrolet,Cruze,Sedan,2020,Used,Green,20000
